longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity_encode,median_house_value,ocean_proximity
-122.28,37.81,35,948,184,467,169,1.8088,0,118800,NEAR BAY
-122.28,37.81,52,773,143,377,115,2.4083,0,98200,NEAR BAY
-122.27,37.81,40,880,451,582,380,0.977,0,118800,NEAR BAY
-122.27,37.81,10,875,348,546,330,0.76,0,162500,NEAR BAY
-122.27,37.8,10,105,42,125,39,0.9722,0,137500,NEAR BAY
-122.27,37.8,52,249,78,396,85,1.2434,0,500001,NEAR BAY
-122.27,37.8,16,994,392,800,362,2.0938,0,162500,NEAR BAY
-122.28,37.8,52,215,87,904,88,0.8668,0,137500,NEAR BAY
-122.28,37.8,52,96,31,191,34,0.75,0,162500,NEAR BAY
-122.27,37.79,27,1055,347,718,302,2.6354,0,187500,NEAR BAY
-122.27,37.8,39,1715,623,1327,467,1.8477,0,179200,NEAR BAY
-122.26,37.8,36,5329,2477,3469,2323,2.0096,0,130000,NEAR BAY
-122.26,37.82,31,4596,1331,2048,1180,2.8345,0,183800,NEAR BAY
-122.26,37.81,29,335,107,202,91,2.0062,0,125000,NEAR BAY
-122.26,37.82,22,3682,1270,2024,1250,1.2185,0,170000,NEAR BAY
-122.26,37.82,37,3633,1085,1838,980,2.6104,0,193100,NEAR BAY
-122.25,37.81,29,4656,1414,2304,1250,2.4912,0,257800,NEAR BAY
-122.25,37.81,28,5806,1603,2563,1497,3.2177,0,273400,NEAR BAY
-122.25,37.81,39,854,242,389,228,3.125,0,237500,NEAR BAY
-122.25,37.81,52,2155,701,895,613,2.5795,0,350000,NEAR BAY
-122.26,37.81,34,5871,1914,2689,1789,2.8406,0,335700,NEAR BAY
-122.24,37.82,52,1509,225,674,244,4.9306,0,313400,NEAR BAY
-122.24,37.81,52,2026,482,709,456,3.2727,0,268500,NEAR BAY
-122.25,37.81,52,1758,460,686,422,3.1691,0,259400,NEAR BAY
-122.24,37.82,52,3481,751,1444,718,3.9,0,275700,NEAR BAY
-122.25,37.82,28,3337,855,1520,802,3.9063,0,225000,NEAR BAY
-122.25,37.82,52,1424,289,550,253,5.0917,0,262500,NEAR BAY
-122.25,37.82,32,3809,1098,1806,1022,2.6429,0,218500,NEAR BAY
-122.25,37.82,26,3959,1196,1749,1217,3.0233,0,255000,NEAR BAY
-122.25,37.83,52,2376,559,939,519,3.1484,0,224100,NEAR BAY
-122.25,37.83,35,1613,428,675,422,3.4722,0,243100,NEAR BAY
-122.25,37.83,52,1279,287,534,291,3.1429,0,231600,NEAR BAY
-122.25,37.83,28,5022,1750,2558,1661,2.4234,0,218500,NEAR BAY
-122.25,37.83,52,4190,1105,1786,1037,3.0897,0,234100,NEAR BAY
-122.23,37.84,50,2515,399,970,373,5.8596,0,327600,NEAR BAY
-122.23,37.84,47,3175,454,1098,485,5.2868,0,347600,NEAR BAY
-122.24,37.83,41,2576,406,794,376,5.956,0,366100,NEAR BAY
-122.24,37.85,37,334,54,98,47,4.9643,0,335000,NEAR BAY
-122.23,37.85,52,2800,411,1061,403,6.3434,0,373600,NEAR BAY
-122.24,37.84,52,3529,574,1177,555,5.1773,0,389500,NEAR BAY
-122.24,37.85,52,2612,365,901,367,7.2354,0,391100,NEAR BAY
-122.22,37.85,28,5287,1048,2031,956,5.457,0,337300,NEAR BAY
-122.22,37.84,50,2935,473,1031,479,7.5,0,295200,NEAR BAY
-122.21,37.84,44,3424,597,1358,597,6.0194,0,292300,NEAR BAY
-122.21,37.83,40,4991,674,1616,654,7.5544,0,411500,NEAR BAY
-122.2,37.84,30,2211,346,844,343,6.0666,0,311500,NEAR BAY
-122.21,37.84,34,3038,490,1140,496,7.0548,0,325900,NEAR BAY
-122.19,37.84,18,1617,210,533,194,11.6017,0,392600,NEAR BAY
-122.2,37.84,35,2865,460,1072,443,7.4882,0,319300,NEAR BAY
-122.21,37.83,34,5065,788,1627,766,6.8976,0,333300,NEAR BAY
-122.19,37.83,28,1326,184,463,190,8.2049,0,335200,NEAR BAY
-122.2,37.83,26,1589,223,542,211,8.401,0,351200,NEAR BAY
-122.19,37.83,29,1791,271,661,269,6.8538,0,368900,NEAR BAY
-122.19,37.82,32,1835,264,635,263,8.317,0,365900,NEAR BAY
-122.2,37.82,37,1229,181,420,176,7.0175,0,366700,NEAR BAY
-122.2,37.82,39,3770,534,1265,500,6.3302,0,362800,NEAR BAY
-122.18,37.81,30,292,38,126,52,6.3624,0,483300,NEAR BAY
-122.21,37.82,52,2375,333,813,350,7.0549,0,331400,NEAR BAY
-122.2,37.81,45,2964,436,1067,426,6.7851,0,323500,NEAR BAY
-122.21,37.8,50,2833,605,1260,552,2.8929,0,216700,NEAR BAY
-122.21,37.8,38,2254,535,951,487,3.0812,0,233100,NEAR BAY
-122.21,37.81,52,1389,212,510,224,5.2402,0,296400,NEAR BAY
-122.22,37.81,52,1971,335,765,308,6.5217,0,273700,NEAR BAY
-122.22,37.8,52,2183,465,1129,460,3.2632,0,227700,NEAR BAY
-122.22,37.8,52,2286,464,1073,441,3.0298,0,199600,NEAR BAY
-122.22,37.8,52,2721,541,1185,515,4.5428,0,239800,NEAR BAY
-122.22,37.81,52,2024,339,756,340,4.072,0,270100,NEAR BAY
-122.22,37.81,52,2944,536,1034,521,5.3509,0,302100,NEAR BAY
-122.23,37.8,52,2033,486,787,459,3.1603,0,269500,NEAR BAY
-122.23,37.81,52,1433,229,612,213,4.7708,0,314700,NEAR BAY
-122.22,37.81,52,2927,402,1021,380,8.1564,0,390100,NEAR BAY
-122.23,37.81,52,2315,292,861,258,8.8793,0,410300,NEAR BAY
-122.24,37.81,52,2485,313,953,327,6.8591,0,352400,NEAR BAY
-122.24,37.81,52,1490,238,634,256,6.0302,0,287300,NEAR BAY
-122.23,37.81,52,2814,365,878,352,7.508,0,348700,NEAR BAY
-122.24,37.81,52,2093,550,918,483,2.7477,0,243800,NEAR BAY
-122.24,37.8,52,888,168,360,175,2.1944,0,211500,NEAR BAY
-122.25,37.8,52,2087,510,1197,488,3.0149,0,218400,NEAR BAY
-122.24,37.81,52,2513,502,1048,518,3.675,0,269900,NEAR BAY
-122.25,37.81,46,3232,835,1373,747,3.225,0,218800,NEAR BAY
-122.25,37.8,42,4120,1065,1715,1015,2.9345,0,225000,NEAR BAY
-122.25,37.8,43,2364,792,1359,722,2.1429,0,250000,NEAR BAY
-122.25,37.8,41,1471,469,1062,413,1.6121,0,171400,NEAR BAY
-122.25,37.8,29,2468,864,1335,773,1.3929,0,193800,NEAR BAY
-122.24,37.79,27,1632,492,1171,429,2.3173,0,125000,NEAR BAY
-122.25,37.79,45,1786,526,1475,460,1.7772,0,97500,NEAR BAY
-122.25,37.79,50,629,188,742,196,2.6458,0,125000,NEAR BAY
-122.25,37.79,52,1339,391,1086,363,2.181,0,138800,NEAR BAY
-122.25,37.8,36,1678,606,1645,543,2.2303,0,116700,NEAR BAY
-122.25,37.8,43,2344,647,1710,644,1.6504,0,151800,NEAR BAY
-122.24,37.8,52,996,228,731,228,2.2697,0,127000,NEAR BAY
-122.24,37.8,52,1591,373,1118,347,2.1563,0,128600,NEAR BAY
-122.24,37.8,52,1586,398,1006,335,2.1348,0,140600,NEAR BAY
-122.24,37.8,47,2046,588,1213,554,2.6292,0,182700,NEAR BAY
-122.23,37.8,52,1192,289,772,257,2.3833,0,146900,NEAR BAY
-122.24,37.8,52,1803,420,1321,401,2.957,0,122800,NEAR BAY
-122.24,37.8,49,2838,749,1487,677,2.5238,0,169300,NEAR BAY
-122.23,37.8,52,783,184,488,186,1.9375,0,126600,NEAR BAY
-122.23,37.8,51,1590,414,949,392,1.9028,0,127900,NEAR BAY
-122.23,37.8,50,1746,480,1149,415,2.25,0,123500,NEAR BAY
-122.23,37.8,52,1252,299,844,280,2.3929,0,111900,NEAR BAY
-122.23,37.79,43,5963,1344,4367,1231,2.1917,0,112800,NEAR BAY
-122.23,37.79,52,1783,395,1659,412,2.9357,0,107900,NEAR BAY
-122.23,37.79,30,999,264,1011,263,1.8854,0,137500,NEAR BAY
-122.24,37.79,39,1469,431,1464,389,2.1638,0,105500,NEAR BAY
-122.24,37.79,47,1372,395,1237,303,2.125,0,95500,NEAR BAY
-122.24,37.79,52,674,180,647,168,3.375,0,116100,NEAR BAY
-122.24,37.79,43,1626,376,1284,357,2.2542,0,112200,NEAR BAY
-122.25,37.79,51,175,43,228,55,2.1,0,75000,NEAR BAY
-122.25,37.79,39,461,129,381,123,1.6,0,112500,NEAR BAY
-122.25,37.79,52,902,237,846,227,3.625,0,125000,NEAR BAY
-122.26,37.8,20,2373,779,1659,676,1.6929,0,115000,NEAR BAY
-122.22,37.77,52,391,128,520,138,1.6471,0,95000,NEAR BAY
-122.22,37.77,52,1137,301,866,259,2.59,0,96400,NEAR BAY
-122.23,37.77,52,769,206,612,183,2.57,0,72000,NEAR BAY
-122.23,37.78,52,472,146,415,126,2.6429,0,71300,NEAR BAY
-122.23,37.78,52,862,215,994,213,3.0257,0,80800,NEAR BAY
-122.22,37.78,50,1920,530,1525,477,1.4886,0,128800,NEAR BAY
-122.23,37.78,43,1420,472,1506,438,1.9338,0,112500,NEAR BAY
-122.23,37.78,52,986,258,1008,255,1.4844,0,119400,NEAR BAY
-122.23,37.78,44,2340,825,2813,751,1.6009,0,118100,NEAR BAY
-122.23,37.79,48,1696,396,1481,343,2.0375,0,122500,NEAR BAY
-122.23,37.79,49,1175,217,859,219,2.293,0,106300,NEAR BAY
-122.22,37.79,37,2343,574,1608,523,2.1494,0,132500,NEAR BAY
-122.23,37.79,30,610,145,425,140,1.6198,0,122700,NEAR BAY
-122.23,37.79,40,930,199,564,184,1.3281,0,113300,NEAR BAY
-122.22,37.79,44,1487,314,961,272,3.5156,0,109500,NEAR BAY
-122.22,37.79,52,3424,690,2273,685,3.9048,0,164700,NEAR BAY
-122.21,37.79,52,762,190,600,195,3.0893,0,125000,NEAR BAY
-122.22,37.79,46,2366,575,1647,527,2.6042,0,124700,NEAR BAY
-122.22,37.79,49,1826,450,1201,424,2.5,0,136700,NEAR BAY
-122.22,37.79,38,3049,711,2167,659,2.7969,0,141700,NEAR BAY
-122.2,37.79,29,1640,376,939,340,2.8321,0,150000,NEAR BAY
-122.21,37.79,47,1543,307,859,292,2.9583,0,138800,NEAR BAY
-122.21,37.79,34,2364,557,1517,516,2.8365,0,139200,NEAR BAY
-122.21,37.79,35,1745,409,1143,386,2.875,0,143800,NEAR BAY
-122.21,37.8,39,2003,500,1109,464,3.0682,0,156500,NEAR BAY
-122.21,37.8,39,2018,447,1221,446,3.0757,0,151000,NEAR BAY
-122.2,37.8,43,3045,499,1115,455,4.9559,0,273000,NEAR BAY
-122.2,37.8,52,1547,293,706,268,4.7721,0,217100,NEAR BAY
-122.21,37.8,52,3519,711,1883,706,3.4861,0,187100,NEAR BAY
-122.2,37.8,41,2070,354,804,340,5.1184,0,239600,NEAR BAY
-122.21,37.8,48,1321,263,506,252,4.0977,0,229700,NEAR BAY
-122.19,37.8,48,1694,259,610,238,4.744,0,257300,NEAR BAY
-122.19,37.8,46,1938,341,768,332,4.2727,0,246900,NEAR BAY
-122.19,37.79,50,968,195,462,184,2.9844,0,179900,NEAR BAY
-122.2,37.79,40,1060,256,667,235,4.1739,0,169600,NEAR BAY
-122.2,37.8,46,2041,405,1059,399,3.8487,0,203300,NEAR BAY
-122.19,37.8,52,1813,271,637,277,4.0114,0,263400,NEAR BAY
-122.19,37.79,45,2718,451,1106,454,4.6563,0,231800,NEAR BAY
-122.19,37.79,28,3144,761,1737,669,2.9297,0,140500,NEAR BAY
-122.2,37.79,35,1802,459,1009,390,2.3036,0,126000,NEAR BAY
-122.2,37.79,49,882,195,737,210,2.6667,0,122000,NEAR BAY
-122.2,37.79,44,1621,452,1354,491,2.619,0,134700,NEAR BAY
-122.21,37.79,45,2115,533,1530,474,2.4167,0,139400,NEAR BAY
-122.2,37.79,45,2021,528,1410,480,2.7788,0,115400,NEAR BAY
-122.21,37.78,46,2239,508,1390,569,2.7352,0,137300,NEAR BAY
-122.21,37.78,52,1477,300,1065,269,1.8472,0,137000,NEAR BAY
-122.21,37.78,52,1056,224,792,245,2.6583,0,142600,NEAR BAY
-122.21,37.78,49,898,244,779,245,3.0536,0,137500,NEAR BAY
-122.22,37.78,44,2968,710,2269,610,2.3906,0,111700,NEAR BAY
-122.21,37.78,43,1702,460,1227,407,1.7188,0,126800,NEAR BAY
-122.21,37.78,47,881,248,753,241,2.625,0,111300,NEAR BAY
-122.22,37.77,40,494,114,547,135,2.8015,0,114800,NEAR BAY
-122.22,37.78,50,1776,473,1807,440,1.7276,0,102300,NEAR BAY
-122.22,37.78,44,1678,514,1700,495,2.0801,0,131900,NEAR BAY
-122.22,37.78,51,1637,463,1543,393,2.489,0,119100,NEAR BAY
-122.21,37.76,52,1420,314,1085,300,1.7546,0,80600,NEAR BAY
-122.21,37.77,52,591,173,353,137,4.0904,0,80600,NEAR BAY
-122.21,37.77,52,745,153,473,149,2.6765,0,88800,NEAR BAY
-122.2,37.77,49,2272,498,1621,483,2.4338,0,102400,NEAR BAY
-122.21,37.77,46,1234,375,1183,354,2.3309,0,98700,NEAR BAY
-122.21,37.77,43,1017,328,836,277,2.2604,0,100000,NEAR BAY
-122.19,37.77,42,932,254,900,263,1.8039,0,92300,NEAR BAY
-122.2,37.77,39,2689,597,1888,537,2.2562,0,94800,NEAR BAY
-122.2,37.77,41,1547,415,1024,341,2.0562,0,102000,NEAR BAY
-122.2,37.78,52,2300,443,1225,423,3.5398,0,158400,NEAR BAY
-122.2,37.78,39,1752,399,1071,376,3.1167,0,121600,NEAR BAY
-122.2,37.78,50,1867,403,1128,378,2.5401,0,129100,NEAR BAY
-122.2,37.77,43,2430,502,1537,484,2.898,0,121400,NEAR BAY
-122.21,37.78,44,1729,414,1240,393,2.3125,0,102800,NEAR BAY
-122.19,37.78,52,1026,180,469,168,2.875,0,160000,NEAR BAY
-122.19,37.77,52,2170,428,1086,425,3.3715,0,143900,NEAR BAY
-122.19,37.77,52,2329,445,1144,417,3.5114,0,151200,NEAR BAY
-122.19,37.78,52,2492,415,1109,375,4.3125,0,164400,NEAR BAY
-122.19,37.78,52,2198,397,984,369,3.22,0,156500,NEAR BAY
-122.18,37.78,33,142,31,575,47,3.875,0,225000,NEAR BAY
-122.19,37.78,49,1183,205,496,209,5.2328,0,174200,NEAR BAY
-122.19,37.78,52,1070,193,555,190,3.7262,0,166900,NEAR BAY
-122.2,37.78,45,1766,332,869,327,4.5893,0,163500,NEAR BAY
-122.18,37.79,39,617,95,236,106,5.2578,0,253000,NEAR BAY
-122.18,37.79,41,1411,233,626,214,7.0875,0,240700,NEAR BAY
-122.18,37.79,46,2109,387,922,329,3.9712,0,208100,NEAR BAY
-122.19,37.79,47,1229,243,582,256,2.9514,0,198100,NEAR BAY
-122.19,37.79,50,954,217,546,201,2.6667,0,172800,NEAR BAY
-122.18,37.81,37,1643,262,620,266,5.4446,0,336700,NEAR BAY
-122.18,37.8,34,1355,195,442,195,6.2838,0,318200,NEAR BAY
-122.18,37.8,23,2317,336,955,328,6.7527,0,285800,NEAR BAY
-122.13,37.77,24,2459,317,916,324,7.0712,0,293000,NEAR BAY
-122.16,37.79,22,12842,2048,4985,1967,5.9849,0,371000,NEAR BAY
-122.17,37.78,42,1524,260,651,267,3.6875,0,157300,NEAR BAY
-122.17,37.77,30,3326,746,1704,703,2.875,0,135300,NEAR BAY
-122.18,37.78,43,1985,440,1085,407,3.4205,0,136700,NEAR BAY
-122.18,37.78,50,1642,322,713,284,3.2984,0,160700,NEAR BAY
-122.17,37.78,49,893,177,468,181,3.875,0,140600,NEAR BAY
-122.17,37.78,52,653,128,296,121,4.175,0,144000,NEAR BAY
-122.16,37.77,47,1256,438,570,218,4.375,0,161900,NEAR BAY
-122.16,37.77,48,977,438,446,180,4.7708,0,156300,NEAR BAY
-122.16,37.77,45,2324,438,968,384,3.5739,0,176000,NEAR BAY
-122.16,37.77,39,1583,438,857,316,3.0958,0,145800,NEAR BAY
-122.17,37.77,39,1612,438,912,322,3.3958,0,141900,NEAR BAY
-122.17,37.77,31,2424,438,1360,452,1.871,0,90700,NEAR BAY
-122.17,37.76,41,1594,438,1074,355,1.9356,0,90600,NEAR BAY
-122.17,37.76,47,2118,438,965,382,2.1842,0,107900,NEAR BAY
-122.18,37.76,37,1575,438,933,320,2.2917,0,107000,NEAR BAY
-122.17,37.76,38,1764,438,987,354,2.4333,0,98200,NEAR BAY
-122.18,37.76,50,1187,438,907,246,1.9479,0,89500,NEAR BAY
-122.18,37.76,52,754,438,447,165,3.9063,0,93800,NEAR BAY
-122.18,37.76,49,2308,438,1299,451,1.8407,0,96700,NEAR BAY
-122.18,37.77,27,909,438,396,157,2.0786,0,97500,NEAR BAY
-122.18,37.77,42,1180,438,877,268,2.8125,0,97300,NEAR BAY
-122.18,37.76,43,2018,438,1111,367,1.8913,0,91200,NEAR BAY
-122.19,37.76,49,1368,438,790,269,1.7056,0,91400,NEAR BAY
-122.18,37.77,52,2744,438,1479,554,2.2768,0,96200,NEAR BAY
-122.18,37.77,51,2107,438,1173,438,3.2552,0,120100,NEAR BAY
-122.18,37.77,52,1748,438,1029,366,2.0556,0,100000,NEAR BAY
-122.19,37.76,52,2024,438,1030,350,2.4659,0,94700,NEAR BAY
-122.2,37.76,47,1116,438,826,279,1.75,0,85700,NEAR BAY
-122.19,37.77,41,2036,438,1412,454,2.0469,0,89300,NEAR BAY
-122.19,37.77,45,1852,438,1132,349,2.7159,0,101400,NEAR BAY
-122.19,37.76,41,921,438,522,159,1.2083,0,72500,NEAR BAY
-122.19,37.76,45,995,438,630,237,1.925,0,74100,NEAR BAY
-122.2,37.75,36,606,438,531,133,1.5809,0,70000,NEAR BAY
-122.2,37.76,37,2680,438,1925,667,1.4097,0,84600,NEAR BAY
-122.19,37.76,38,1493,438,1144,351,0.7683,0,81800,NEAR BAY
-122.19,37.75,19,2207,438,1481,520,1.3194,0,81400,NEAR BAY
-122.19,37.75,28,856,438,435,162,0.8012,0,81800,NEAR BAY
-122.19,37.76,26,1293,438,984,303,1.9479,0,85800,NEAR BAY
-122.19,37.74,36,847,438,567,159,1.1765,0,87100,NEAR BAY
-122.18,37.74,42,541,438,380,123,2.3456,0,83500,NEAR BAY
-122.19,37.73,44,1066,438,825,244,2.1538,0,79700,NEAR BAY
-122.19,37.74,43,707,438,417,155,2.5139,0,83400,NEAR BAY
-122.19,37.73,45,1528,438,801,287,1.2625,0,84700,NEAR BAY
-122.18,37.73,42,909,438,646,198,2.9063,0,80000,NEAR BAY
-122.18,37.73,43,1391,438,855,285,2.5192,0,76400,NEAR BAY
-122.18,37.73,44,548,438,435,136,2.1111,0,79700,NEAR BAY
-122.18,37.73,42,4074,438,2736,780,2.455,0,82400,NEAR BAY
-122.17,37.74,41,1613,438,1481,414,2.4028,0,97700,NEAR BAY
-122.17,37.74,47,463,438,327,137,2.15,0,97200,NEAR BAY
-122.17,37.74,43,818,438,494,179,2.4776,0,101600,NEAR BAY
-122.17,37.73,43,1473,438,1231,341,2.1587,0,86500,NEAR BAY
-122.18,37.74,35,504,438,323,109,1.8438,0,90500,NEAR BAY
-122.17,37.74,46,1026,438,749,225,3.0298,0,107600,NEAR BAY
-122.17,37.74,46,769,438,693,178,2.25,0,84200,NEAR BAY
-122.18,37.74,46,2103,438,1339,354,2.2467,0,88900,NEAR BAY
-122.18,37.75,45,330,438,282,80,4.0469,0,80700,NEAR BAY
-122.18,37.75,46,941,438,621,195,1.325,0,87100,NEAR BAY
-122.17,37.75,38,992,438,732,259,1.6196,0,85100,NEAR BAY
-122.18,37.75,45,990,438,901,260,2.1731,0,82000,NEAR BAY
-122.19,37.75,36,1126,438,482,150,1.9167,0,82800,NEAR BAY
-122.18,37.75,43,1036,438,652,213,2.069,0,84600,NEAR BAY
-122.18,37.75,36,1047,438,651,166,1.712,0,82100,NEAR BAY
-122.17,37.76,33,1280,438,999,286,2.5625,0,89300,NEAR BAY
-122.17,37.75,43,1587,438,907,306,1.9821,0,98300,NEAR BAY
-122.17,37.75,41,1257,438,828,230,2.5043,0,92300,NEAR BAY
-122.17,37.75,44,1218,438,763,254,2.3281,0,88800,NEAR BAY
-122.17,37.75,48,1751,438,935,349,1.4375,0,90000,NEAR BAY
-122.16,37.76,45,2299,438,1437,484,2.5122,0,95500,NEAR BAY
-122.16,37.75,38,2457,438,1516,482,1.5625,0,91700,NEAR BAY
-122.17,37.75,47,998,438,597,185,3.1587,0,100400,NEAR BAY
-122.17,37.76,40,1685,438,949,342,1.8426,0,94800,NEAR BAY
-122.16,37.76,46,1827,438,881,302,4.6696,0,164300,NEAR BAY
-122.16,37.76,36,2781,438,1438,519,2.4598,0,155500,NEAR BAY
-122.15,37.76,39,1823,438,763,270,6.0749,0,196900,NEAR BAY
-122.14,37.77,27,2229,438,1297,355,4.8304,0,279100,NEAR BAY
-122.14,37.76,34,1513,438,545,211,5.5701,0,252800,NEAR BAY
-122.13,37.76,26,3266,438,1222,533,5.37,0,275400,NEAR BAY
-122.12,37.75,33,1809,438,808,219,6.86,0,250000,NEAR BAY
-122.12,37.75,28,794,438,329,109,7.6923,0,329800,NEAR BAY
-122.14,37.75,36,690,438,299,109,4.0313,0,195500,NEAR BAY
